,KOI_x,KIC,Kepler,Prot_flag,Prot_adopted,Prot_ANG18,Prot_MAZ15,Prot_D20,Prot_MCQ13,Prot_WAL13,KOI_y,Teff,E_Teff,e_Teff,[Fe/H],E_[Fe/H],e_[Fe/H],Ksmag,e_Ksmag,plx,e_plx,R,E_R,e_R,Miso,E_Miso,e_Miso,Riso,E_Riso,e_Riso,rhoiso,E_rhoiso,e_rhoiso,logAiso,E_logAiso,e_logAiso,plxspec,E_plxspec,e_plxspec,r8,RCF,KOI_strip
1552,2407,12120484,Kepler-1226,b,a18,14.73,14.15,14.78,,,K02407,6000,60,60,0.2,0.04,0.04,12.645,0.024,0.913,0.03,1.46,0.061,0.057,1.208,0.03,0.035,1.443,0.051,0.057,0.4,0.04,0.04,9.61,0.06,0.06,0.937,0.115,0.158,1,,2407
1553,2408,6429812,Kepler-1227,m,,20.43,34.39,22.20,,,K02408,5485,60,60,-0.07,0.04,0.04,12.507,0.024,1.628,0.016,0.915,0.024,0.024,0.858,0.03,0.025,0.91,0.01,0.011,1.13,0.07,0.06,9.98,0.1,0.14,1.722,0.079,0.113,1,,2408
1554,2409,10024051,Kepler-1228,m,,31.88,21.83,16.01,,,K02409,4767,60,60,-0.61,0.04,0.04,12.799,0.025,1.964,0.02,0.727,0.022,0.021,0.666,0.005,0.004,0.668,0.001,0.001,2.23,0.02,0.02,10.09,0.03,0.04,2.371,0.058,0.061,1,,2409
1555,2410,8676038,,m,,17.20,13.17,13.41,,,K02410,5648,60,60,-0.09,0.04,0.04,13.549,0.04,0.957,0.022,0.946,0.035,0.033,0.897,0.036,0.031,0.939,0.022,0.021,1.08,0.1,0.09,9.88,0.13,0.19,0.998,0.053,0.077,1,,2410
1556,2411,8073806,,m,,,7.40,32.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,2413,3234598,Kepler-383,b,m15,,29.79,14.97,29.78,30.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,2414,8611832,Kepler-384,m,,24.63,48.22,15.93,,,K02414,5541,60,60,-0.29,0.04,0.04,12.038,0.018,1.141,0.013,1.617,0.042,0.041,0.882,0.015,0.014,1.61,0.02,0.022,0.21,0.01,0.01,10.11,0.02,0.02,1.149,0.067,0.091,1,,2414
1559,2415,5621586,,m,,,31.73,16.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,2416,9210387,,m,,,53.20,17.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,2417,9654468,,a,m15,,21.25,21.48,21.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
